town,price,size,bedrooms,bathrooms
Bukit Batok,455000,67,2,2
Jurong East,800000,142,3,2
Punggol,628000,93,3,2
Woodlands,530000,93,3,2
Ang Mo Kio,368000,67,2,2
Marine Parade,500000,76,2,1
Bukit Panjang,550000,110,3,2
Queenstown,345000,60,2,2
Woodlands,598000,121,3,2
Jurong West,530000,110,3,2
Yishun,550000,93,3,2
Tampines,618000,127,4,2
Yishun,570000,104,3,2
Woodlands,480000,86,3,2
Punggol,569000,110,3,2
Kallang/Whampoa,470000,68,2,2
Woodlands,480000,91,3,2
Tampines,990000,142,3,2
Punggol,569000,110,3,2
Kallang/Whampoa,470000,68,2,2
Woodlands,480000,91,3,2
Tampines,990000,142,3,2
Punggol,553380,90,2,2
Punggol,720000,110,2,2
Bedok,348000,59,2,2
Geylang,1008888,120,4,2
Bishan,690000,100,3,2
Choa Chu Kang,555000,110,3,2
Hougang,580000,116,3,2
Ang Mo Kio,535000,91,3,2
Queenstown,900000,87,3,2
Yishun,450000,103,3,2
Ang Mo Kio,950000,135,3,2
Woodlands,438000,84,3,2
Bukit Merah,965000,110,3,2
Geylang,1008888,120,4,2
Bukit Panjang,838000,140,4,2
Toa Payoh,808000,93,3,2
Hougang,410000,65,2,2
Tampines,500000,84,3,2
Serangoon,668000,104,3,2
Sembawang,648000,93,3,2
Sengkang,699999,131,4,2
Bukit Batok,560000,92,3,2
Tampines,600000,104,3,2
Yishun,685000,113,3,2
Punggol,598000,92,3,2
Bedok,388000,67,2,2
Toa Payoh,550000,94,3,2
Choa Chu Kang,550000,93,3,2
Serangoon,1200000,150,4,2
Toa Payoh,980000,110,3,2
Bedok,655000,105,0,2
Sengkang,700000,130,3,2
Yishun,750000,142,4,0
Tampines,780000,128,4,2
Toa Payoh,380000,65,2,1
Queenstown,825000,95,3,2
Hougang,599000,110,3,2
Bukit Merah,880000,86,3,2
Tampines,820000,124,3,2
Sengkang,469000,68,2,2
Central Area,698888,87,3,1
Central Area,498000,72,2,2
Central Area,698888,87,3,1
Punggol,569000,92,3,2
Punggol,580000,110,3,2
Woodlands,550000,93,3,2
Queenstown,700000,90,3,2
Queenstown,428000,65,2,2
Jurong West,299000,66,3,1
Sembawang,648888,137,4,2
Queenstown,780000,109,3,2
Punggol,599000,93,3,0
Bukit Panjang,838000,140,4,2
Choa Chu Kang,680000,113,3,2
Bukit Batok,455000,67,2,2
Tampines,640000,94,3,2
Sengkang,538000,93,3,2
Hougang,650000,103,3,2
Choa Chu Kang,580000,128,3,2
Kallang/Whampoa,450000,91,3,2
Yishun,620000,112,3,2
Tampines,460000,84,3,2
Punggol,650000,110,3,2
Queenstown,428000,65,2,2
Tampines,808000,94,3,2
Hougang,650000,92,3,2
Geylang,560000,92,3,2
